# Amplitude, Wavelength
1.006187573391772787e+02,4.050000000000000000e+02
-2.259524250516995778e+02,4.050019001900190005e+02
4.436594038480020572e+02,4.050038003800380011e+02
1.119964602045497770e+02,4.050057005700570016e+02
1.600124658155577038e+02,4.050076007600760022e+02
-7.295865426222536598e+01,4.050095009500950027e+02
-2.957205785166751753e+02,4.050114011401140033e+02
3.186156458510711786e+02,4.050133013301330038e+02
1.488863119542590425e+02,4.050152015201520044e+02
3.533825921325150148e+02,4.050171017101710049e+02
2.992846577238103123e+01,4.050190019001900055e+02
-1.640344591263334451e+01,4.050209020902090060e+02
5.401423350078854924e+01,4.050228022802280066e+02
2.915072172120997607e+02,4.050247024702470071e+02
4.396880936044986754e+01,4.050266026602660077e+02
4.170615990384177962e+02,4.050285028502850082e+02
-6.297133555915347358e+01,4.050304030403040088e+02
-2.957091139803476949e+02,4.050323032303230093e+02
3.032227641688234598e+02,4.050342034203420098e+02
-5.710454499873914074e+02,4.050361036103610104e+02
4.015010485736677737e+01,4.050380038003800109e+02
3.879753434287284790e+02,4.050399039903990115e+02
-3.612522982641567069e+02,4.050418041804180689e+02
2.183321231347084677e+02,4.050437043704370694e+02
-1.075429715939795585e+02,4.050456045604560700e+02
-1.388190303093214197e+02,4.050475047504750705e+02
-1.826879739866146508e+02,4.050494049404940711e+02
1.837359630829720913e+02,4.050513051305130716e+02
-8.265256032365514329e+02,4.050532053205320722e+02
-1.928427549354478003e+02,4.050551055105510727e+02
-3.231177234474115494e+02,4.050570057005700733e+02
1.123636366975748189e+02,4.050589058905890738e+02
-2.046641049367368339e+02,4.050608060806080744e+02
2.710941361048330123e+02,4.050627062706270749e+02
-2.757604157103208991e+02,4.050646064606460754e+02
-3.253895387187035908e+02,4.050665066506650760e+02
-4.734069814531000588e+02,4.050684068406840765e+02
-3.750808983318940477e+02,4.050703070307030771e+02
-3.635079005517375208e+02,4.050722072207220776e+02
-4.072737259551466877e+02,4.050741074107410782e+02
1.230446195454704963e+02,4.050760076007600787e+02
-2.213969522533324152e+02,4.050779077907790793e+02
-5.024200767801855250e+02,4.050798079807980798e+02
1.660352879776206692e+02,4.050817081708170804e+02
3.852673234886645446e+02,4.050836083608360809e+02
-7.394469615892961656e+01,4.050855085508550815e+02
5.716762678269624303e+02,4.050874087408740820e+02
-9.250705026378007290e+00,4.050893089308930826e+02
-4.637445325735876622e+02,4.050912091209120831e+02
4.204385494191470798e+02,4.050931093109310837e+02
-2.314101387630319948e+02,4.050950095009500842e+02
-1.849236068743698524e+02,4.050969096909690847e+02
2.472646801251516990e+01,4.050988098809880853e+02
5.953872299433415947e+02,4.051007100710070858e+02
-6.731669458605728096e+01,4.051026102610260864e+02
-4.251709374713440184e+02,4.051045104510450869e+02
-2.085527947073978225e+02,4.051064106410640875e+02
4.437226047812193315e+02,4.051083108310830880e+02
2.283090847084473864e+02,4.051102110211020886e+02
-4.513578523800855891e+01,4.051121112111210891e+02
8.593433309055419045e+01,4.051140114011400897e+02
4.602523268281275364e+02,4.051159115911590902e+02
-8.694791883923930698e+01,4.051178117811780908e+02
3.506291780586369669e+02,4.051197119711970913e+02
-2.283605761270195842e+02,4.051216121612161487e+02
