Pos,Team,Total,High,Low,Average,Change
1,Benfica,951184,64591,46256,55952,+11.1%
2,Sporting CP,727121,49399,32457,42772,+6.9%
3,Porto,631202,50019,22208,37130,+14.8%
4,Vitória de Guimarães,318856,26985,12953,18756,+50.9%
5,Braga,195366,24836,5545,11492,+2.9%
6,Marítimo,132909,10454,4150,7818,+27.2%
7,Boavista,103461,16157,3955,6086,+5.9%
8,Belenenses,68799,12236,1309,4047,−9.2%
9,Rio Ave,67215,8767,1508,3954,+19.7%
10,Chaves,65320,10109,2081,3842,−13.3%
11,Paços de Ferreira,61551,8000,1730,3496,+33.3%[1]
12,Vitória de Setúbal,58051,9076,1059,3415,+21.9%
13,Feirense,50517,5449,1099,2972,+183.5%[1]
14,Nacional,46500,5017,1126,2735,+9.8%
15,Estoril,39239,4987,1045,2308,−30.5%
16,Tondela,38668,7429,877,2275,−22.6%
17,Arouca,37383,5603,640,2199,−2.0%
18,Moreirense,29030,5351,658,1708,−40.7%
